[17:31:55] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[17:31:56] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[17:31:56] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[17:31:56] [main/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[17:31:56] [main/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[17:31:56] [main/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[17:31:56] [main/INFO]: Reloading ResourceManager: Default
[17:31:57] [Worker-Main-4/INFO]: Loaded 7 recipes
[17:31:57] [Worker-Main-4/INFO]: Loaded 1137 advancements
[17:32:00] [Server thread/INFO]: Starting minecraft server version 1.17.1
[17:32:00] [Server thread/INFO]: Loading properties
[17:32:00] [Server thread/INFO]: Default game type: SURVIVAL
[17:32:00] [Server thread/INFO]: Generating keypair
[17:32:01] [Server thread/INFO]: Starting Minecraft server on *:25565
[17:32:01] [Server thread/INFO]: Using default channel type
[17:32:01] [Server thread/INFO]: Preparing level "world"
[17:32:01] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[17:32:04] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[17:32:12] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[17:32:12] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[17:32:12] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[17:32:12] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[17:32:12] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[17:32:12] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[17:32:12] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[17:32:12] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[17:32:12] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[17:32:12] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[17:32:12] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[17:32:12] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[17:32:12] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[17:32:12] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[17:32:12] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[17:32:12] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[17:32:12] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[17:32:12] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[17:32:12] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[17:32:12] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[17:32:12] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[17:32:12] [Worker-Main-4/INFO]: Preparing spawn area: 5%
[17:32:14] [Worker-Main-4/INFO]: Preparing spawn area: 15%
[17:32:14] [Worker-Main-4/INFO]: Preparing spawn area: 15%
[17:32:14] [Worker-Main-6/INFO]: Preparing spawn area: 19%
[17:32:14] [Worker-Main-5/INFO]: Preparing spawn area: 43%
[17:32:16] [Worker-Main-6/INFO]: Preparing spawn area: 52%
[17:32:16] [Worker-Main-6/INFO]: Preparing spawn area: 52%
[17:32:16] [Worker-Main-6/INFO]: Preparing spawn area: 59%
[17:32:16] [Worker-Main-5/INFO]: Preparing spawn area: 68%
[17:32:17] [Worker-Main-4/INFO]: Preparing spawn area: 68%
[17:32:17] [Worker-Main-4/INFO]: Preparing spawn area: 70%
[17:32:18] [Worker-Main-5/INFO]: Preparing spawn area: 72%
[17:32:18] [Worker-Main-4/INFO]: Preparing spawn area: 74%
[17:32:19] [Worker-Main-4/INFO]: Preparing spawn area: 78%
[17:32:19] [Worker-Main-5/INFO]: Preparing spawn area: 81%
[17:32:20] [Worker-Main-4/INFO]: Preparing spawn area: 83%
[17:32:20] [Worker-Main-4/INFO]: Preparing spawn area: 83%
[17:32:21] [Worker-Main-4/INFO]: Preparing spawn area: 83%
[17:32:21] [Worker-Main-5/INFO]: Preparing spawn area: 84%
[17:32:22] [Worker-Main-5/INFO]: Preparing spawn area: 85%
[17:32:22] [Worker-Main-6/INFO]: Preparing spawn area: 86%
[17:32:23] [Worker-Main-6/INFO]: Preparing spawn area: 86%
[17:32:23] [Worker-Main-4/INFO]: Preparing spawn area: 86%
[17:32:24] [Worker-Main-5/INFO]: Preparing spawn area: 88%
[17:32:24] [Worker-Main-4/INFO]: Preparing spawn area: 89%
[17:32:25] [Worker-Main-5/INFO]: Preparing spawn area: 90%
[17:32:25] [Worker-Main-5/INFO]: Preparing spawn area: 91%
[17:32:26] [Worker-Main-5/INFO]: Preparing spawn area: 93%
[17:32:26] [Worker-Main-5/INFO]: Preparing spawn area: 94%
[17:32:27] [Worker-Main-6/INFO]: Preparing spawn area: 95%
[17:32:27] [Worker-Main-5/INFO]: Preparing spawn area: 97%
[17:32:28] [Worker-Main-5/INFO]: Preparing spawn area: 98%
[17:32:31] [Server thread/INFO]: Time elapsed: 29923 ms
[17:32:31] [Server thread/INFO]: Done (30.487s)! For help, type "help"
